"","air_date","episode_no","overall_episode_no","air_date_tidy","guests"
"1","–","–","–",NA,"sarah beeny"
"2","–","–","–",NA,"sandi toksvig"
"3","22 February 2007 (2007-02-22)","1","1",2007-02-22,"elijah wood"
"4","22 February 2007 (2007-02-22)","1","1",2007-02-22,"kim cattrall"
"5","22 February 2007 (2007-02-22)","1","1",2007-02-22,"heloise"
"6","22 February 2007 (2007-02-22)","1","1",2007-02-22,"the savoir faire"
"7","1 March 2007 (2007-03-01)","2","2",2007-03-01,"orlando bloom"
"8","1 March 2007 (2007-03-01)","2","2",2007-03-01,"samantha morton"
"9","8 March 2007 (2007-03-08)","3","3",2007-03-08,"joan rivers"
"10","8 March 2007 (2007-03-08)","3","3",2007-03-08,"julian mcmahon"
"11","15 March 2007 (2007-03-15)","4","4",2007-03-15,"jenny eclair"
"12","15 March 2007 (2007-03-15)","4","4",2007-03-15,"louis walsh"
"13","22 March 2007 (2007-03-22)","5","5",2007-03-22,"ioan gruffudd"
"14","22 March 2007 (2007-03-22)","5","5",2007-03-22,"jessie wallace"
"15","22 March 2007 (2007-03-22)","5","5",2007-03-22,"scooch"
"16","29 March 2007 (2007-03-29)","6","6",2007-03-29,"david tennant"
"17","29 March 2007 (2007-03-29)","6","6",2007-03-29,"jo brand"
"18","29 March 2007 (2007-03-29)","6","6",2007-03-29,"the proclaimers"
"19","12 April 2007 (2007-04-12)","7","7",2007-04-12,"julia sawalha"
"20","12 April 2007 (2007-04-12)","7","7",2007-04-12,"liz smith"
"21","12 April 2007 (2007-04-12)","7","7",2007-04-12,"alan bates"
"22","19 April 2007 (2007-04-19)","8","8",2007-04-19,"barbara windsor"
"23","19 April 2007 (2007-04-19)","8","8",2007-04-19,"robert webb"
"24","26 April 2007 (2007-04-26)","9","9",2007-04-26,"dustin hoffman"
"25","26 April 2007 (2007-04-26)","9","9",2007-04-26,"lisa hoffman"
"26","26 April 2007 (2007-04-26)","9","9",2007-04-26,"mika"
"27","3 May 2007 (2007-05-03)","10","10",2007-05-03,"dawn french"
"28","3 May 2007 (2007-05-03)","10","10",2007-05-03,"sarah beeny"
"29","10 May 2007 (2007-05-10)","11","11",2007-05-10,"gérard depardieu"
"30","10 May 2007 (2007-05-10)","11","11",2007-05-10,"tori amos"
"31","17 May 2007 (2007-05-17)","12","12",2007-05-17,"joan collins"
"32","17 May 2007 (2007-05-17)","12","12",2007-05-17,"jason donovan"
"33","17 May 2007 (2007-05-17)","12","12",2007-05-17,"ben's brother"
"34","24 May 2007 (2007-05-24)","13","13",2007-05-24,"miriam margolyes"
"35","24 May 2007 (2007-05-24)","13","13",2007-05-24,"rupert everett"
"36","24 May 2007 (2007-05-24)","13","13",2007-05-24,"the zimmers"
"37","31 May 2007 (2007-05-31)","14","14",2007-05-31,"matt lucas"
"38","31 May 2007 (2007-05-31)","14","14",2007-05-31,"andrew lloyd webber"
"39","31 May 2007 (2007-05-31)","14","14",2007-05-31,"sinéad o'connor"
"40","7 June 2007 (2007-06-07)","15","15",2007-06-07,"jennifer coolidge"
"41","7 June 2007 (2007-06-07)","15","15",2007-06-07,"enrique iglesias"
"42","14 June 2007 (2007-06-14)","16","16",2007-06-14,"joanna lumley"
"43","14 June 2007 (2007-06-14)","16","16",2007-06-14,"jon bon jovi"
"44","21 June 2007 (2007-06-21)","17","17",2007-06-21,"alice cooper"
"45","21 June 2007 (2007-06-21)","17","17",2007-06-21,"sandi toksvig"
"46","21 June 2007 (2007-06-21)","17","17",2007-06-21,"gareth gates"
"47","28 June 2007 (2007-06-28)","18","18",2007-06-28,"dennis hopper"
"48","28 June 2007 (2007-06-28)","18","18",2007-06-28,"ardal o'hanlon"
"49","28 June 2007 (2007-06-28)","18","18",2007-06-28,"joss stone"
"50","5 July 2007 (2007-07-05)","19","19",2007-07-05,"tyne daly"
"51","5 July 2007 (2007-07-05)","19","19",2007-07-05,"sharon gless"
"52","5 July 2007 (2007-07-05)","19","19",2007-07-05,"natalie imbruglia"
"53","11 October 2007 (2007-10-11)","1","20",2007-10-11,"courtney love"
"54","11 October 2007 (2007-10-11)","1","20",2007-10-11,"louis walsh"
"55","11 October 2007 (2007-10-11)","1","20",2007-10-11,"brian capron"
"56","11 October 2007 (2007-10-11)","1","20",2007-10-11,"katie melua"
"57","18 October 2007 (2007-10-18)","2","21",2007-10-18,"gabriel byrne"
"58","18 October 2007 (2007-10-18)","2","21",2007-10-18,"letitia dean"
"59","18 October 2007 (2007-10-18)","2","21",2007-10-18,"the backstreet boys"
"60","25 October 2007 (2007-10-25)","3","22",2007-10-25,"melanie chisholm"
"61","25 October 2007 (2007-10-25)","3","22",2007-10-25,"josh hartnett"
"62","25 October 2007 (2007-10-25)","3","22",2007-10-25,"rufus wainwright"
"63","1 November 2007 (2007-11-01)","4","23",2007-11-01,"jackie collins"
"64","1 November 2007 (2007-11-01)","4","23",2007-11-01,"john waters"
"65","1 November 2007 (2007-11-01)","4","23",2007-11-01,"westlife"
"66","8 November 2007 (2007-11-08)","5","24",2007-11-08,"frankie boyle"
"67","8 November 2007 (2007-11-08)","5","24",2007-11-08,"elle macpherson"
"68","8 November 2007 (2007-11-08)","5","24",2007-11-08,"kt tunstall"
"69","15 November 2007 (2007-11-15)","6","25",2007-11-15,"jo brand"
"70","15 November 2007 (2007-11-15)","6","25",2007-11-15,"trinny woodall"
"71","15 November 2007 (2007-11-15)","6","25",2007-11-15,"susannah constantine"
"72","15 November 2007 (2007-11-15)","6","25",2007-11-15,"alison moyet"
"73","22 November 2007 (2007-11-22)","7","26",2007-11-22,"john schneider"
"74","22 November 2007 (2007-11-22)","7","26",2007-11-22,"tom wopat"
"75","22 November 2007 (2007-11-22)","7","26",2007-11-22,"catherine bach"
"76","22 November 2007 (2007-11-22)","7","26",2007-11-22,"phil nichol"
"77","29 November 2007 (2007-11-29)","8","27",2007-11-29,"alan carr"
"78","29 November 2007 (2007-11-29)","8","27",2007-11-29,"glenn close"
"79","29 November 2007 (2007-11-29)","8","27",2007-11-29,"amy macdonald"
"80","6 December 2007 (2007-12-06)","9","28",2007-12-06,"nigella lawson"
"81","6 December 2007 (2007-12-06)","9","28",2007-12-06,"marilyn manson"
"82","6 December 2007 (2007-12-06)","9","28",2007-12-06,"rihanna"
"83","13 December 2007 (2007-12-13)","10","29",2007-12-13,"sharon osbourne"
"84","13 December 2007 (2007-12-13)","10","29",2007-12-13,"david boreanaz"
"85","13 December 2007 (2007-12-13)","10","29",2007-12-13,"louis walsh"
"86","13 December 2007 (2007-12-13)","10","29",2007-12-13,"stereophonics"
"87","20 December 2007 (2007-12-20)","11","30",2007-12-20,"miriam margolyes"
"88","20 December 2007 (2007-12-20)","11","30",2007-12-20,"ashley jensen"
"89","20 December 2007 (2007-12-20)","11","30",2007-12-20,"mika"
"90","26 December 2007 (2007-12-26)","12","31",2007-12-26,"russell brand"
